student_id,course,exam_id,pred
230748,course1,m31I6cTD,85.02898790003603
186851,course1,m31I6cTD,79.3696779522348
478370,course1,m31I6cTD,82.8644810402676
692328,course1,m31I6cTD,83.66434640251518
509128,course1,m31I6cTD,80.93680242683897
604234,course1,m31I6cTD,97.15803615500361
992922,course1,m31I6cTD,79.57936748955184
488841,course1,m31I6cTD,92.69343702460398
831322,course1,m31I6cTD,83.97355606131725
940245,course1,m31I6cTD,78.67328746123505
543834,course1,m31I6cTD,77.63548996133177
775703,course1,m31I6cTD,95.45870086592438
967766,course1,m31I6cTD,94.09552137780261
291359,course1,m31I6cTD,94.03736698514491
226218,course1,m31I6cTD,94.97830496460676
108246,course1,m31I6cTD,78.89810960364541
209909,course1,m31I6cTD,76.32518843858776
908801,course1,m31I6cTD,84.46821019437358
227895,course1,m31I6cTD,77.07802421286065
360479,course1,m31I6cTD,95.37218115761789
121935,course1,m31I6cTD,83.7129839177904
516713,course1,m31I6cTD,96.71813139462911
553260,course1,m31I6cTD,76.08549309415669
862740,course1,m31I6cTD,86.64726104564238
282390,course1,m31I6cTD,92.2017059922486
835300,course1,m31I6cTD,94.61993749859153
974852,course1,m31I6cTD,79.08462788463653
401010,course1,m31I6cTD,97.36653090209175
321731,course1,m31I6cTD,97.15769509203224
864600,course1,m31I6cTD,69.26719336333417
712554,course1,m31I6cTD,92.38422455046015
403854,course1,m31I6cTD,78.85685851718235
380636,course1,m31I6cTD,95.57258648790238
884795,course1,m31I6cTD,77.8673888337945
109609,course1,m31I6cTD,92.45924092884593
869343,course1,m31I6cTD,96.83578255924833
992790,course1,m31I6cTD,80.4735426773417
886338,course1,m31I6cTD,78.00840362878736
607251,course1,m31I6cTD,94.86987778783504
458921,course1,m31I6cTD,93.48054052381998
540941,course1,m31I6cTD,79.65041917447269
518176,course1,m31I6cTD,65.796466829353
686297,course1,m31I6cTD,96.34341473624626
318850,course1,m31I6cTD,79.99901470079469
475067,course1,m31I6cTD,92.53553105558319
469477,course1,m31I6cTD,86.89113733656482
348194,course1,m31I6cTD,72.50201108632648
336101,course1,m31I6cTD,78.033368694783
945985,course1,m31I6cTD,86.94521921310889
530345,course1,m31I6cTD,76.0630459098581
978592,course1,m31I6cTD,70.46652176229861
834710,course1,m31I6cTD,95.44234800617875
808214,course1,m31I6cTD,96.05058927178014
736281,course1,m31I6cTD,96.9475551132613
694324,course1,m31I6cTD,80.69598254884251
196248,course1,m31I6cTD,84.08258926125592
589614,course1,m31I6cTD,96.04805251054674
199656,course1,m31I6cTD,71.60821265940677
412014,course1,m31I6cTD,87.83000186231499
479069,course1,m31I6cTD,94.19126826247165
383659,course1,m31I6cTD,96.01997453903863
827315,course1,m31I6cTD,90.10804045160731
798551,course1,m31I6cTD,88.15496509350143
296553,course1,m31I6cTD,88.76434666358814
904604,course1,m31I6cTD,76.3896689426856
928320,course1,m31I6cTD,94.59784127134893
459986,course1,m31I6cTD,90.08032174314484
547794,course1,m31I6cTD,85.11221330075573
357891,course1,m31I6cTD,90.28487792805004
579396,course1,m31I6cTD,79.4957095657228
302655,course1,m31I6cTD,84.84642647844223
300533,course1,m31I6cTD,91.52389068293726
422763,course1,m31I6cTD,77.12350936703675
413801,course1,m31I6cTD,75.41681588631211
231778,course1,m31I6cTD,87.65199938598323
524054,course1,m31I6cTD,82.620232645936
829824,course1,m31I6cTD,77.73464987869687
893681,course1,m31I6cTD,93.13457339699622
796501,course1,m31I6cTD,83.77118415583985
650787,course1,m31I6cTD,91.2862341504478
717852,course1,m31I6cTD,91.13275171375011
606458,course1,m31I6cTD,78.7729897374518
589305,course1,m31I6cTD,86.9417672566243
171985,course1,m31I6cTD,94.53353903568411
287830,course1,m31I6cTD,80.32067524767064
197608,course1,m31I6cTD,85.41681234457609
201223,course1,m31I6cTD,76.51214671614503
381902,course1,m31I6cTD,90.1041495263614
706896,course1,m31I6cTD,74.41425460894865
380348,course1,m31I6cTD,97.39727554134589
970250,course1,m31I6cTD,77.32917194430361
316985,course1,m31I6cTD,95.6142334725447
540825,course1,m31I6cTD,77.46423291954854
135803,course1,m31I6cTD,76.05356897939258
832330,course1,m31I6cTD,83.44732253853871
152455,course1,m31I6cTD,87.7854945251905
310537,course1,m31I6cTD,92.92125277516843
303640,course1,m31I6cTD,83.223568422829
294031,course1,m31I6cTD,85.82140848279417
169850,course1,m31I6cTD,93.74219016910641
429749,course1,m31I6cTD,96.6678562126587
891926,course1,m31I6cTD,75.20090876421925
620367,course1,m31I6cTD,88.89976121933393
958466,course1,m31I6cTD,91.92329118238563
722283,course1,m31I6cTD,90.60260988623592
516717,course1,m31I6cTD,89.5964838231055
362479,course1,m31I6cTD,85.23015345168841
375485,course1,m31I6cTD,91.18252819588106
658591,course1,m31I6cTD,95.4633231012125
545893,course1,m31I6cTD,95.953865429231
